_unit_id,airline_sentiment,airline,text
681463215,negative,American,@AmericanAir r u serious 304min #delay with #AmericanAirlines #AA2444 #ohio #dallas missed my connecting flight
681678772,negative,American,@AmericanAir Thank you for the worst experience ever on an airline from me to you I hope your embarrassed as an airline Pathetic
681454802,negative,Southwest,@SouthwestAir apologies are whatever Please just deliver the bags like you said you would Feel like employees are lying to me
681452604,negative,United,@united please send help ASAP to @KathrynSotelo on flight 5957 to Chicago seat 9c #Airlines
681456664,negative,Southwest,@SouthwestAir very frustrated with your customer service Open seats on earlier flight $154 to change What a rip off
681452717,negative,United,@united Another unfortunate case of bad luck usually maintenance issue They are now swapping planes to ONT will get in Late Flight
681453664,negative,United,"@united #1007 Houston Bogota with an engine problem mechanics trying to ""fix"" the problem safety first better to change the plane"
681455828,negative,Southwest,@SouthwestAir love how you hold flight 2851 in PHX for Late Flight passengers and make us all over an hour Late Flight Great job
681462859,negative,US Airways,@USAirways I've been on hold for one hour and four minutes for your reservations line How can you possibly do business this way
681457478,negative,Delta,@jetblue I hate you for this
681452442,negative,United,@united yes it is partly used the del ewr is used the return flight was Cancelled Flightled due to technical glitch in operations
681462983,negative,US Airways,@USAirways I been on hold with U for 40mins wasting my time and $ &amp; I don't appreciate it #WheresTheCustomerServiceAt
681462247,negative,US Airways,@USAirways First class no snack basket was catered so drinks only No preflight drink or coathanging 1st drink service 50 min after take off
681677446,negative,American,@AmericanAir No had already waited an hour for it and wanted to get home
681449497,negative,United,@united Can you please follow for a Dm on a missing bag
681679020,negative,American,"@AmericanAir this is pathetic customer service Why have bag tags barcodes and computers if your response is ""not yet located"""
681456526,negative,Southwest,@SouthwestAir Customer relations line had busy signal too called the normal line and the service rep thought I was dumb for not knowing
681451778,negative,United,@united Hate when I get bumped out of the seat I've selected &amp; empty row and moved to another seat non empty #1K #flt803 #nonupgrade
681454374,negative,Southwest,@SouthwestAir and now our arrival is delayed nearly 5hours Yeah an entire day in an airport is not my idea of a stress less vacation #fail
681679475,negative,American,@AmericanAir even with calls you haven't been able to help us anyway #nevergettinghome
681463095,negative,US Airways,@usairways and @AmericanAir 4 days of Cancelled Flightations I have driven to 3 airports in 3 different states spent more on gas than my flight
681455619,negative,Southwest,"@SouthwestAir 4 hour delay in ATL due to ""air traffic control"" love missing an entire day of my vacation #unhappycustomer #mytimeismoney"
681452505,negative,United,@united 3 times my flight has been delayed and I miss my next flight This time you've lost my baggage No clean clothes $337 flight Thx
681450994,negative,United,@united once again you guys didn't let me down a four hour delay to Honolulu from Houston thanks for the train wreck of issues now coming
681678272,negative,American,@AmericanAir now you're sending a gate agent to talk to us Joke of an airline Thanks for ruining my vacation #neverflyAAagain
681678761,negative,American,@AmericanAir @loganex except if you call now you'll get the same message Trust me I've tried
681677778,negative,American,@AmericanAir Is this a serious thread Maybe you guys should re read it #fail
681456472,negative,Southwest,@SouthwestAir #JamesAsworth has the worst corporate account manager #22 Brent I will now take my 70plus flights to @Delta thank you
681677709,negative,American,@AmericanAir it's not cool that my flight was Cancelled Flightled after sitting on the plane for over an hour #notahappycustomer #leavingtomm
681460333,negative,US Airways,@usairways that wasn't the issue Someone finally helped on the phone Now theres a website error that won't let me process my request SMH
681460057,negative,US Airways,@usairways RT @Dmoukdarath Nice another delay with @usair second one this trip Left engine leaking what's next #USAIR #nothappy
681449651,negative,United,@united I used to be a committed #ContinentalAirlines flyer until merger I remember now why I switched to @SouthwestAir #CommunicationFail
681449528,negative,United,@united has made my no fly list Other airlines wait when connector Late Flight Stuck in IAH
681677588,negative,American,@AmericanAir just need to know why it wasn't done like it was promised it would yesterday
681679478,negative,American,@AmericanAir Cancelled Flightled my flight didn't notify me and I can only rebook by phone but can't get through to an agent Epic Fail
681454363,negative,Southwest,@SouthwestAir I'm so upset that my luggage was damaged and the rude employee at the Laguardia airport didn't help
681451856,negative,United,@united lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff Customer service is non existent
681461918,negative,US Airways,@USAirways Cool Now @SweetingR has been told you can't re route his bags after he was told to leave them last night He needs them to race
681461215,negative,US Airways,@USAirways thanks for the worst customer service on the face of the earth I loved the 5 hrs on hold along w 2 Cancelled Flightled flights
681462464,negative,US Airways,@USAirways I've been on hold for 36 mins and counting cause you charged my credit card for bag but provided no receipt and said error Awful
681456579,negative,Southwest,@SouthwestAir I along with other passengers repeatedly asked Southwest personnel what was taking so long where was our luggage
681679051,negative,American,@AmericanAir my understanding is they were able and did for many other flights but chose not to for this one
681457159,negative,Delta,@JetBlue they booked me for tomorrow It's $250 higher My 1st reservation is PGFRYZ Get me on standby list 4 tonight would help
681455185,negative,Southwest,@SouthwestAir well I'm not sure what there is you can do The bad experience had already been had
681678397,negative,American,@AmericanAir One hour to check in is 45 minutes too long MIA FAIL
681453732,negative,United,@united How come you are the ONLY airline of 90 flights last year that makes me check my carry on Not even gate check baggage claim
681461456,negative,US Airways,@USAirways @nanceebing 4 hour hold times at the moment and counting #disgrace
681678844,negative,American,@AmericanAir The word failure means an act or instance of failing or proving unsuccessful; lack of success nonperformance of something due
681461661,negative,US Airways,@USAirways 2 hours and counting waiting to get into a gate in Philadelphia Just icing on the cake for a miserable flight experience
681458574,negative,Delta,@JetBlue can u see what's holding up flt 1002 bags One bag came out nothing else for 10 minutes
681678678,negative,American,@AmericanAir called last night after 10hrs got call back can I get a one day pass to admirals club I'm going to be spending 7hrs in DFW
681461013,negative,US Airways,@USAirways just passed the 3 hour mark #onholdwith you for THIS call Gave up after 2 5 this morning
681449443,negative,United,@united however is completely under your control the price was and still is displayed on
681452945,negative,United,@united can you you think about hiring some baggage attendants at EWR Been waiting for bags for 1 hr United overcharged&amp;underserved
681677237,negative,American,@AmericanAir don't worry I'll be sending a letter with what I expect from you for compensation I fly twice a week w you guys for now
681455041,negative,Southwest,@SouthwestAir no HUMAN contact for 2 mths from @AmericanAir cust relations or refund dept If ever a problem do u have humans I can talk to
681456952,negative,Southwest,@SouthwestAir worst customer service Terrible attitudes I don't care how big a storm Your employees need an attitude adjustment
681453419,negative,United,@united I would have made it if you hadn't already booked me on another flight and Cancelled Flighted my original reservation
681460810,negative,US Airways,@USAirways congrats on treating your customers the worst way possible I know plenty of other ppl who have had horrible experience w you too
681461608,negative,US Airways,@USAirways delayed depart bc ur flight attendant wasn't there Then after landing took 3 hrs to get a gate Now it's another he and NO bags
681460957,negative,US Airways,@USAirways it still says that I can't check into my flight because the information is incorrect but everything is entered correctly
681460745,negative,US Airways,@USAirways Very frustrated checked bag in Logan was not given a luggage ticket now luggage is lost &amp; no ownership from @USAirways
681462225,negative,US Airways,@USAirways He overflowed over the armrest and under with legs sprawled You should refund me I had no Choice #Grossedout
681462557,negative,US Airways,@USAirways Unfortunately I doubt that the consistently subpar service will improve with the @AmericanAir merger #USAirways
681460761,negative,US Airways,@USAirways I called the number and they said no one is available to take my call guys this is insane
681453444,negative,United,"@united what you did was illegal and a breach of contract I will be in touch but not through your ""customer feedback"""
681679293,negative,American,@AmericanAir AA 100 good job overselling this flight Delayed 90 minutes to deplane the overflow passengers' bags
681677785,negative,American,"@AmericanAir even followed me but I still can't get them to answer their phones Worst Customer ""service"" Ever #customerservice #fail"
681450246,negative,United,@united your ground crew was inept and left a truck sitting on the Tarmac Didn't have a gate agent once we got a gate
681463010,negative,US Airways,@USAirways won't waive $200 fee due to #neptune Can't use credit w o paying fee Couldnt get to destination to use their tic #waivethefee
681449518,negative,United,@united Male agnt in LAS threatens Canadian cust when cust takes pic of him at gate after agents announce can't help rebook #friendlyskies
681450308,negative,United,@united customers aren't dumb These revenue based programs will hurt everyone Not gonna save money like you think
681460055,negative,US Airways,@USAirways already did it One person said they couldn't do anything another said she didn't know why the first person we talked 2 said that
681455724,negative,Southwest,@SouthwestAir The in browser hover over is intrusive and annoying And the fact that the WiFi only works on one device is sort of sad
681456474,negative,Southwest,@SouthwestAir a complete horror show Flights bumped three times today before noon not how to run an airline #cantblametheweather
681455775,negative,Southwest,@SouthwestAir I don't want to be too whiny We accommodated several passengers whose earlier flight was Cancelled Flightled Our flight was very long
681462652,negative,US Airways,@usairways Seriously attendants go AWOL for 60 mins Now flight further delayed Don't lite a match either
681679027,negative,American,@AmericanAir @DuaneNClark ever think about being prepared and bringing in more people Does anyone have any business sense at AA
681678236,negative,American,"@AmericanAir ""bag has not yet been located"" Again 5th time I've checked it How can tracking my bag be this hard for your system"
681455215,negative,Southwest,@SouthwestAir IND website says contact airline for flight 899 tomorrow to ATL On hold for over an hour Can you give me any more info
681450359,negative,United,@united what about the poor customer service at checkin at Kansas KCI That's it
681449099,negative,United,@united I tried but no one was available in bogota and everyone was rude in Houston I was stuck for 35 hours because of you guys
681460750,negative,US Airways,@USAirways I am in meetings in California and have no luggage
681461305,negative,US Airways,@USAirways 30 min delay for mechanics to replace rivets 30 mins Late Flightr turns out mechanics had wrong size rivets 35 more mins Pathetic
681462389,negative,US Airways,@USAirways Your gate team are polite But your planes are habitually Late Flight In many cases passengers are waiting for the flight crew
681451435,negative,United,@united EWR TO MCO made unplanned landing because of pressurization failure Worst pain I've EVER felt I thought I was going to pass out
681463104,negative,US Airways,@USAirways No I missed the funeral so I had to take a train back to Newark
681449684,negative,United,@united that guy really has no customer service clue Could have spent effort clearing bins for rollerboards instead of art projects in mine
681679354,negative,American,@AmericanAir pleaseeee find my suitcase I want deoderant and a clean shirt for work tomorrow
681461415,negative,US Airways,"@USAirways @msscottwg ""That's unusual"" means we screwed up but will never admit to it #GoingForGreatnessFAIL"
681460987,negative,US Airways,@USAirways we flew out through and into good weather when we landed another technical issue with gate improve service or lose customers
681678405,negative,American,@AmericanAir @united we'll have time and they aren't doing a damn thing I'm the guy in the winter hat and frowny face
681462427,negative,US Airways,@USAirways @AmericanAir Will you be destroying lives in Eastern @GastonCounty during this lively little event For profits you will
681451133,negative,United,@united 100 I will put together a very serious email with all the issues that arose on our vacation due to your staff I will post it here
681450282,negative,United,@united typical caned response from UA fix your crappy performing last placed ranked airline in this century
681450922,negative,United,@united @TiffanyAndCo @NTrustOpen ah so that's where the funds to fix the broken plane upon which I sat for 4 hrs on IAH runway went
681451402,negative,United,@united flight UA1459 sitting at newark waiting for a gate seriously #threehoursLate Flight
681458029,negative,Delta,@JetBlue I waited 3 hrs for my bags and my flight was only 2 hrs
681462187,negative,US Airways,@USAirways Handled on the phone Unfortunately it wiped out an entire trip which is why I'm so displeased
681452288,negative,United,@united I have flown with you 10 times in the last 13 days 8 out of 10 flights have been delayed Huge mistake on my part Don't fly united
681679591,negative,American,@AmericanAir been rebooked for tomorrow You failed to put me on DL flight today despite my asking and available seat DL still available
681678353,negative,American,@AmericanAir Well if you won't let me handle my reservation change online &amp; your Reservation call # hangs up on me wtf do I do Bullshit
681449383,negative,United,@united Why tell us flight is delayed then tell us it's on time again with 20 min to spare Don't say it's delayed unless you're sure
681679302,negative,American,@AmericanAir My flight to @dfwairport was Cancelled Flightled Mess ensued Please thank the awesome Marcos Concierge Key @ GRU for sorting it out
681458343,negative,Delta,@JetBlue my flight 475 Cancelled Flighted due to lavatory problems Can't confirm if they are gonna get a flight from Boston Logan Int
681678742,negative,American,@AmericanAir Please stop changing my flights for Spring Break This is the 5th time
681449012,negative,United,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix Flawed security logic Flawed customer service
681450429,negative,United,@united is the worst airlines sitting on the plane at Houston bush airport now for an hour and a half waiting for Late Flight passengers
681679379,negative,American,@AmericanAir not to mention its a three hour wait to get an agent on the phone
681451251,negative,United,@united flighted delayed for hours 10pm arrival to Vegas is now 4am Did you seriously lose my luggage
681449214,negative,United,@united LHR arrival lounge #fail Waited 20 mins for shower then left to find hotel U know how many passengers u carry Planning
681456927,negative,Southwest,@SouthwestAir also they said they couldn't even book the flight They were having to put me on hold &amp; have someone else do it
681460807,negative,US Airways,@USAirways If my flight is going to be Cancelled Flightled every week I might as well be in business class
681455774,negative,Southwest,@SouthwestAir Another delay Wow
681462050,negative,US Airways,@usairways and @american please get my plane together before I go to Jetblue
681454424,negative,Southwest,@SouthwestAir mins and no answer My wife and baby need to get on that flight She arrived 2 hrs prior Please help Venetia Crook
681462599,negative,US Airways,@USAirways attempting ckin for flight on 2 19 all day site unable to retrieve details Called twice and disconnected
681678271,negative,American,@AmericanAir is there something wrong with the website no matter what flight I select it says it's no longer available
681461219,negative,US Airways,@USAirways how do you lose a pilot
681461037,negative,US Airways,@USAirways Interesting you forward compliments but never complaints World's worst airline #GoingForGreatnessFAIL
681678037,negative,American,@AmericanAir no I will be calling corporate
681460407,negative,US Airways,@USAirways not likely flightaware says plane is still in Durango and hasn't departed
681459866,negative,Delta,@JetBlue yes 3 times I need some one to call me and help me change a flight I can't do online Thanks
681450772,negative,United,@united thanks for having no one to pilot my last two flights and all but stranding me in Houston tonight Airlines are the absolute worst
681677981,negative,American,@AmericanAir My flight 1389 from Las Vegas to DFW was Cancelled Flightled I've been on hold forever and I still have not spoken to anyone Pls Help
681452828,negative,United,"@united playing hide and seek with the gate ""We can't find it it should only be a few more minutes """
681455779,negative,Southwest,@SouthwestAir I can't begin to tell you how slow my plane's wifi is I can't even pull up an email What am i paying $8 for
681458756,negative,Delta,@JetBlue maybe announce the delay so we don't sit on the plane on the runway for an hour before taking off
681463126,negative,US Airways,@USAirways when I call it says y'all are too busy and to call back Late Flightr this is terrible customer service what will you do about it
681461111,negative,US Airways,@USAirways sucks Delayed my mom's flight 2X Cancelled Flightled it delayed her flight again today all for mech issues She had 2 sleep in airport
681462259,negative,US Airways,@USAirways on flight 1839 waiting for weight and balance info for the past 30 minutes
681679601,negative,American,@AmericanAir how did my prime ticketed seat get switched on AA 343 Not sure what's going on here
681462139,negative,US Airways,@USAirways your staff at LAX really messed up on this one Failing to scan my suitcase tag
681455478,negative,Southwest,@SouthwestAir stuck on the runway again Delayed on Wednesday Not a good way to take care of your loyal customers
681678045,negative,American,@AmericanAir check on what Our broken tablet See attached picture #media #filmcrew #nbc #cnn
681448206,negative,Virgin America,@VirginAmerica status match program I applied and it's been three weeks Called and emailed with no response
681450774,negative,United,@united so disgusted and disappointed with united airlines luggage policies and attitude toward musicians Unacceptable
681453755,negative,United,@united Thanks but not so much the missing bag as the nonexistent staff at this apparent remote outpost busy airport for city of 1M
681457759,negative,Delta,@jetblue WTF stuck at JFK for 2 hrs in a delay to Boston cuz u say snow No snow on weather map WTF
681454081,negative,United,@united eventually You should approach bags like @AlaskaAir they get it
681461288,negative,US Airways,@USAirways waiting all day at ATL since flight this am Cancelled Flightled 1 standby told no seats and group of 15 shows up Late Flight and gets on to PHL
681460992,negative,US Airways,@USAirways any update on this flight It's more than three hours delayed Thank you
681455839,negative,Southwest,@SouthwestAir remember me Wouldn't let me on 3 05pm flight seats available Now my 7 40 flight is delayed Worst airline #badservice
681449124,negative,United,@united 2nd flight also delayed no pilots But they boarded is so we can just sit here #scheduling
681461120,negative,US Airways,@USAirways holding your passengers hostage during your computer crash is not customer friendly let us off the plane or get us moving
681455121,negative,Southwest,@SouthwestAir why was flight 4199 out of Boston tmrw @ 1230 Cancelled Flightled
681456755,negative,Southwest,@SouthwestAir extremely #disappointed with poor the customer service provided after Cancelled Flighting my flight today #unprofessional
681449000,negative,United,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing Still need to improve service #united
681677761,negative,American,@AmericanAir you know I love this airline but why are my friends @MEGENTRIPODI @jordnnicole7 having such a problem retaining info they need
681455001,negative,Southwest,@SouthwestAir Maybe if you comped those that quietly accepted delays or Cancelled Flightations instead of the irate you'd have less issues #justsaying
681460838,negative,US Airways,@USAirways 4914 from PHL to BGM I cannot believe this has happened 2x in under two weeks
681449773,negative,United,@united I was originally trying to share details but the link Jimmy Samartzis Vice President Customer Experience sent me expired
681449666,negative,United,@united really Someone called in sick and then someone FORGOT to call a replacement Now an hour Late Flight to take off #theworst
681458672,negative,Delta,@JetBlue Late Flight again lost almost 3 hours of my bay area weekend not to mention two hours of unnecessary vacation time from work #flt348
681454679,negative,Southwest,@SouthwestAir When will the flight resume I don's see it in the open schedule
681457727,negative,Delta,"@JetBlue lol at your ""estimated departure time "" Plane hasn't even started boarding yet You can't even get your delays right"
681461482,negative,US Airways,@USAirways GF was on hold for 4 hours and call was dropped HELP Need a flight
681451908,negative,United,"@united your ""Airserv"" contractors aren't worth a wet damn 30min Late Flight still not done w bags on UA1566 They made checkin a calamity"
681452962,negative,United,@united tried to and got through the whole 2 000 characters and I was not even done
681451316,negative,United,@united you ask a lot of customers who you routinely screw over You know that right
681678363,negative,American,@AmericanAir you're not finding it bc @united rebooked us on your airline when they realized they couldn't get us home and we're at ORD
681450128,negative,United,@united as a freq flyer it makes me sad to see cust needing assistance treated so poorly #ServiceFail
681449077,negative,United,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER
681679559,negative,American,@AmericanAir After 3 days NO BAGs amazing the way that you neglect customers
681462416,negative,US Airways,@USAirways Some of my 4 kids are anxious Husband and I can't sit with all 4 with current setup No warning that our 6 seats changed
681462534,negative,US Airways,@USAirways i hate you
681679118,negative,American,@AmericanAir is there only one call centre I know it's busy right now really need to speak to agent not computer
681452867,negative,United,@united should contact me and the others on my flight who can't get their website to work None of our info is valid
681455365,negative,Southwest,@SouthwestAir Can't DM you because you don't follow me
681461933,negative,US Airways,@USAirways @AmericanAir flight 849's four subsequent delays destroyed my travel plans this evening Looking to resolve this matter
681458734,negative,Delta,@JetBlue yes and not boarding at 6 44 Good luck with that Push wheels up to reality Dare you
681678954,negative,American,@AmericanAir You should really help @Cowboycerrone out you are getting a TON of bad publicity right now #WillNeverFlyWithYou
681450734,negative,United,@united Delayed 7 hrs flight 5721 PIT IAD finally board the plane sit half hour &amp; crew is at their hrs limit &amp; we deplane Unacceptable
681462204,negative,US Airways,@USAirways suppose I need to tweet everyone how horrible your airline is for you to take notice Let me try that route
681454912,negative,Southwest,@SouthwestAir I'm gonna ignore the fasten seatbelt sign and I want to see if ur man enough to do anything about it
681451067,negative,United,@united you should spend all of the money you take for our tickets and update your planes Each flight has a maintenance issue
681460921,negative,US Airways,@USAirways your a miserable airline and your loss of revenue is a reflection of that Go extinct A merger only delays the inevitable
681461754,negative,US Airways,@USAirways but only for certain flights from CLT NYC The notion that you can't rebook customers for 48 hours is absurd
681461076,negative,US Airways,@USAirways thanks for three Cancelled Flightled flight and making us go from raleigh to charlote to lexington to philly istead of raleigh to philly
681448243,negative,Virgin America,@VirginAmerica Your chat support is not working on your site
681457305,negative,Delta,@JetBlue we are missing our connecting transportation in Puerto Rico as a result Need to get to Vieques today
681453588,negative,United,@united UA1641 EWR MCO 17 Feb wifi never connected but allowed me to purchase access twice &amp; charged me Who do I need to file claim with
681458972,negative,Delta,@jetblue we never received that $15 credit for inoperable tv's on our SFO &gt; JFK flight 2 weeks ago never got an email
681451198,negative,United,@united I would never fly United Airlines again
681677847,negative,American,@AmericanAir thanks for making this the worst flying experience ever 4 different planes of mechanical issues and 12 hours and counting
681463129,negative,US Airways,@USAirways I can't believe that you would refer me to a number no one seems to be getting through Really I need help ASAP
681461905,negative,US Airways,@USAirways your checkin at @PHLAirport is a #shitshow and the agent behind the counter who tried to send me to the wrong destination rude
681451358,negative,United,@united I hope your corporate office is ready to deal with the rage created by your shitty service and bullshit pilots #UnitedAirlinesSucks
681461948,negative,US Airways,@USAirways &gt;250k miles on usair Last four flights not good Other airlines much improved Billing issues seats legroom in air service
681460583,negative,US Airways,@USAirways even if I was the single most unreasonable human being on planet earth there is no excuse for his treatment of me
681677471,negative,American,@AmericanAir I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding smh come on
681677905,negative,American,@AmericanAir I have been checking consistently and called multiple times As a loyal AA customer I'm disappointed
681457938,negative,Delta,@JetBlue kids fly Don't hire people who don't care about them This guy #jetblue
681454080,negative,United,@united I shouldn't have to spend my own $$$ on a hotel because of a weather delay The weather being something COMPLETELY OUT OF MY CONTROL
681449957,negative,United,@united 1 75 hour delay Nothing says sorry like a voucher Missing time with family #family #precioustime
681462310,negative,US Airways,@USAirways yes not sure how you guys don't know gate is occupied and keep us waiting
681677454,negative,American,"@AmericanAir still here feet are freezing b c doors have been open Flt time was 8 30 We have fuel but now waiting for ""rampers"" #AA4285"
681679695,negative,American,@AmericanAir @russelneiss No American This is simple How about YOU call HER back with the info for her new flight Basic customer service
681448926,negative,Virgin America,@VirginAmerica Very poor experience First computer problem now seat malfunction Stuck Missing meeting in San Diego
681461384,negative,US Airways,@USAirways now in a black hole of your phone system
681462444,negative,US Airways,@USAirways some people in line have been waiting 55 minutes for a customer service representative
681460243,negative,US Airways,@USAirways my bag landed 1 day Late Flight at sfo at 11 40am How can it be 10 01pm and I still don't have it Flight 719 2 22 14
681461787,negative,US Airways,@USAirways Every time I try the line is disconnected b c the system says you have too many calls Glad your screw up matters so much to you
681461690,negative,US Airways,@USAirways cannot book to redeem companion fair without speaking to agent $99 vs $1200 this is a family emergency #unacceptable
681455534,negative,Southwest,@SouthwestAir baggage woman said it was in Blatimore and would be on a plane this morning Now they can't find it WTF
681678134,negative,American,@AmericanAir Agents in DFW were very kind did their best to help but this doesn't make up for PHX error and attitude #Americant
681460141,negative,US Airways,@USAirways There is no reFlight Booking Problems the event I'm flying to attend Waiting for jetway driver STILL ON TARMAC
681461070,negative,US Airways,@USAirways ur specialist said they would talk to the stewardess about not serving drunks drinks REALLY how does that help
681677444,negative,American,@AmericanAir Is there lack of communication competition between the American and the Air by any chance
681461618,negative,US Airways,@USAirways even alternate options are allready full even with hotel voucher no more room in philly
681679553,negative,American,@AmericanAir but they refused to unload our luggage so we're stuck in below freezing weather w o our cold weather clothes
681455241,negative,Southwest,@SouthwestAir 3 flights Cancelled Flightled today Now we have been on hold for over an hour
681457197,negative,Delta,"@JetBlue can't book a flight because of outdated forced opt in ""Verified by Visa"" nonsense Help a girl out I just want to get to @sxsw"
681677263,negative,American,"@AmericanAir Its not that I wasn't offered ""perks"" by @USAirways I ASKED and was told ""NO "" #thenewamerican"
681453934,negative,United,@united wtf is your username and or email addr signin STILL unavailable Been trying to login since Sunday
681462457,negative,US Airways,@USAirways I've called to resolve my dividend miles issue for a week to no avail Please advise ASAP
681450778,negative,United,@united frozen lines on flight not continuing due to 'passenger comfort' Not ok sat on the plane as long as a flight to Vegas would
681678295,negative,American,@AmericanAir am on hold for the 2nd time today Need help with confirming the new flights you arranged for me Can you expedite this
